Date,Close_INTC,High_INTC,Low_INTC,Open_INTC,Volume_INTC,Period_INTC,Shares_Out_INTC,Market_Cap_INTC,Trailing_PE_INTC,Forward_PE_INTC,Total_Revenue_INTC,PS_Ratio_INTC,Total_Debt_INTC,Cash_Equivalents_INTC,TD_CE_Missing_INTC,Shares_Out_Missing_INTC,PE_Missing_INTC,PS_Missing_INTC,EV_INTC
2011-12-23,16.86304473876953,16.86304473876953,16.614246610509433,16.67644515393596,24832700,before_trump,,,-3.8500102143309434,17.38458220491704,53100998656,,0.0,0.0,1,1,0,1,
2011-12-27,16.973623275756836,17.070379355765752,16.863046028476447,16.89760224211705,24136000,before_trump,,,-3.8752564556522455,17.498580696656532,53100998656,,0.0,0.0,1,1,0,1,
2011-12-28,16.745569229125977,16.973635125635525,16.711014309546165,16.945991453608812,23703400,before_trump,,,-3.8231893217182598,17.263473432088634,53100998656,,0.0,0.0,1,1,0,1,
2011-12-29,16.966712951660156,16.987446680967107,16.780114660636958,16.83540328727065,22319300,before_trump,,,-3.8736787560867936,17.49145665119604,53100998656,,0.0,0.0,1,1,0,1,
2011-12-30,16.759382247924805,17.015092990059465,16.759382247924805,16.883781997169507,21710100,before_trump,,,-3.826342978978266,17.277713657654438,53100998656,,0.0,0.0,1,1,0,1,
2012-01-03,16.959802627563477,17.201689539527127,16.85613530165356,17.015091252895854,44845600,before_trump,,,-3.8721010565213416,17.484332605735542,53100998656,,0.0,0.0,1,1,0,1,
2012-01-04,17.353736877441406,17.36755804723022,16.95289395349573,16.980537611258363,47504000,before_trump,,,-3.96204038297749,17.890450389114854,53100998656,,0.0,0.0,1,1,0,1,
2012-01-05,17.554149627685547,17.58870583176808,17.263884104314254,17.31917271266191,49490600,before_trump,,,-4.007796718649669,18.09706147184077,53100998656,,0.0,0.0,1,1,0,1,
2012-01-06,17.45049285888672,17.554158889460908,17.284626946330995,17.422847881034883,36343500,before_trump,,,-3.9841307897001643,17.990198823594557,53100998656,,0.0,0.0,1,1,0,1,
2012-01-09,17.60253143310547,17.664731297951242,17.429754323686034,17.554154053377584,47478600,before_trump,,,-4.0188427929464545,18.146939621758214,53100998656,,0.0,0.0,1,1,0,1,
2012-01-10,17.685470581054688,17.91353638440184,17.63018194140038,17.76840288144357,41060900,before_trump,,,-4.037778671473673,18.232443897994525,53100998656,,0.0,0.0,1,1,0,1,
2012-01-11,17.830598831176758,17.892798701835442,17.512689552863343,17.57488942352203,57170000,before_trump,,,-4.070912975154511,18.38206065069769,53100998656,,0.0,0.0,1,1,0,1,
2012-01-12,17.796043395996094,17.899709404568817,17.650911247631246,17.86515450777285,44420500,before_trump,,,-4.063023606391802,18.346436490717622,53100998656,,0.0,0.0,1,1,0,1,
2012-01-13,17.374467849731445,17.77531074042089,17.346824194262293,17.75457832836525,63313400,before_trump,,,-3.966773481673846,17.911822525496337,53100998656,,0.0,0.0,1,1,0,1,
2012-01-17,17.30535316467285,17.55415126637047,17.256974474441137,17.40210790876723,60438600,before_trump,,,-3.95099387321298,17.84057027285861,53100998656,,0.0,0.0,1,1,0,1,
2012-01-18,17.5472412109375,17.60944107011216,17.28462060856585,17.367552875342323,62687000,before_trump,,,-4.006219454551941,18.089939392719074,53100998656,,0.0,0.0,1,1,0,1,
2012-01-19,17.71311378479004,17.747670007548145,17.533426699188343,17.637092731092434,64946300,before_trump,,,-4.044089905203205,18.2609420461753,53100998656,,0.0,0.0,1,1,0,1,
2012-01-20,18.231443405151367,18.29364328159418,17.623268446603312,17.878979196222083,101272500,before_trump,,,-4.162430001176111,18.795302479537494,53100998656,,0.0,0.0,1,1,0,1,
2012-01-23,18.459503173828125,18.583902886241965,18.20379382558594,18.210705067184996,69663500,before_trump,,,-4.21449844151327,19.030415643121778,53100998656,,0.0,0.0,1,1,0,1,
2012-01-24,18.590818405151367,18.646107032479847,18.39039762540494,18.45259749592259,56220400,before_trump,,,-4.244479087934102,19.16579217025914,53100998656,,0.0,0.0,1,1,0,1,
2012-01-25,18.590818405151367,18.6253746210972,18.31437526850896,18.549352264201215,54757900,before_trump,,,-4.244479087934102,19.16579217025914,53100998656,,0.0,0.0,1,1,0,1,
2012-01-26,18.487150192260746,18.659927296861312,18.383484193137345,18.62537240321508,61678200,before_trump,,,-4.220810546178252,19.05891772398015,53100998656,,0.0,0.0,1,1,0,1,
2012-01-27,18.473329544067383,18.54935189946855,18.376574777691225,18.424952160879304,50587400,before_trump,,,-4.217655147047347,19.044669633059158,53100998656,,0.0,0.0,1,1,0,1,
2012-01-30,18.480243682861328,18.521709829493627,18.155423117569107,18.321289022283327,60694100,before_trump,,,-4.219233717548248,19.051797611197244,53100998656,,0.0,0.0,1,1,0,1,
2012-01-31,18.25908660888672,18.521707258686316,18.162331840779213,18.514797333694226,45325300,before_trump,,,-4.168741234905644,18.823800627718267,53100998656,,0.0,0.0,1,1,0,1,
2012-02-01,18.34893035888672,18.54935245892192,18.32128670402472,18.480241344489613,46330600,before_trump,,,-4.189253506595142,18.91642305039868,53100998656,,0.0,0.0,1,1,0,1,
2012-02-02,18.30745887756348,18.48023595415601,18.28672515382596,18.376569971837387,34780300,before_trump,,,-4.179785131863809,18.873668945941734,53100998656,,0.0,0.0,1,1,0,1,
2012-02-03,18.627912521362305,18.774205720260216,18.51645166921064,18.579148564635723,42191600,before_trump,,,-4.25294806423797,19.204033527177636,53100998656,,0.0,0.0,1,1,0,1,
2012-02-06,18.613985061645508,18.62095153304532,18.363198734845,18.495557705285787,36772600,before_trump,,,-4.2497682789145,19.189675321284028,53100998656,,0.0,0.0,1,1,0,1,
2012-02-07,18.55824851989746,18.627911882281804,18.41195665473665,18.55128205078721,33101300,before_trump,,,-4.2370430410724795,19.132214968966455,53100998656,,0.0,0.0,1,1,0,1,
2012-02-08,18.704545974731445,18.802073907055824,18.537354664153185,18.572185688920914,37072100,before_trump,,,-4.270444286468367,19.283037087352007,53100998656,,0.0,0.0,1,1,0,1,
2012-02-09,18.71151161193848,18.809039539918547,18.66274764794844,18.746342635154683,35754200,before_trump,,,-4.2720346145978265,19.290218156637607,53100998656,,0.0,0.0,1,1,0,1,
2012-02-10,18.60004997253418,18.662746874700343,18.425892206232245,18.62791452420897,33616000,before_trump,,,-4.246586751720132,19.175309250035237,53100998656,,0.0,0.0,1,1,0,1,
2012-02-13,18.60005187988281,18.697579813823072,18.474658062691937,18.69061334301042,24723000,before_trump,,,-4.246587187187856,19.17531121637403,53100998656,,0.0,0.0,1,1,0,1,
2012-02-14,18.65578269958496,18.65578269958496,18.4607254989928,18.509489466961224,25409300,before_trump,,,-4.259311118626703,19.232765669675217,53100998656,,0.0,0.0,1,1,0,1,
2012-02-15,18.51645278930664,18.7254415675536,18.460722359859567,18.7254415675536,35832700,before_trump,,,-4.227500636828,19.089126586914062,53100998656,,0.0,0.0,1,1,0,1,
