,Date,Time,open,high,low,close,volume,RSI_rsi,SMA_sma,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band
4564,2025-05-05,14:40,114.575,114.66,114.5,114.655,1002056.0,69.75279,114.44237,114.45507,0.1676908,0.14536983,0.022320967,98.99902,95.37729,28.035097,156.40773,0.16698782,114.65871,114.28284,113.90697
4565,2025-05-05,14:45,114.65,114.66,114.33,114.37505,1986960.5,58.445605,114.35897499999999,114.36145,0.143540005,0.1034442935,0.040095708,71.96180149999999,86.569265,22.7941905,112.38856000000001,0.291014275,114.67972,114.104055,113.528395
4566,2025-05-05,14:50,114.57,114.6355,114.3,114.34,1071112.0,53.2078,114.46182,114.45046,0.14818884,0.14957404,-0.0013851999,35.99854,72.33887,28.52609,51.13605,0.1765711,114.66976,114.32859,113.98743
4567,2025-05-05,14:55,114.3286,114.34,114.13,114.18,1264579.0,46.99132,114.43127,114.39637,0.11811941,0.14328312,-0.025163702,9.43442,42.484,26.61737,-65.22334,0.17895881,114.64856,114.3386,114.028645
4568,2025-05-05,15:00,114.18,114.30250000000001,114.0550005,114.21495,1833548.5,51.0950135,114.343335,114.29947,0.10402539899999999,0.100905627,0.0031197755000000015,45.334655,49.6016,20.10085,-15.543319999999998,0.294690375,114.65034,114.146305,113.642278
4569,2025-05-05,15:05,114.26,114.34,114.14,114.1698,756049.0,46.76769,114.40544,114.32924,0.076753736,0.12298739,-0.046233656,16.91516,19.51772,23.43452,-83.34876,0.18152547,114.6251,114.35209,114.079092
4570,2025-05-05,15:10,114.16,114.225,114.040001,114.1699,971920.0,46.77191,114.3831,114.29737,0.057990156,0.10998794,-0.051997789,20.95121,23.35665,22.38561,-121.44429,0.18177348,114.62929,114.34784,114.066394
4571,2025-05-05,15:15,114.165,114.39500000000001,114.14,114.342,2153511.0,54.17095,114.334585,114.27928,0.0845375965,0.08780887500000001,-0.003271280500000001,58.773754999999994,45.964029999999994,17.619175,16.714387000000002,0.292630265,114.65303,114.1739,113.694776
4572,2025-05-05,15:20,114.3166,114.35,114.15,114.2682,1010602.0,50.75066,114.32478,114.29356,0.046577902,0.088316576,-0.041738674,36.80674,33.76854,19.92341,-55.059486,0.18627408,114.62729,114.35225,114.077224
4573,2025-05-05,15:25,114.2648,114.42,114.2201,114.374,945974.0,54.86746,114.29356,114.30965,0.048824912,0.080418243,-0.031593331,53.87067,44.74169,19.2585,-9.018543,0.1872472,114.62901,114.3592,114.089402
4574,2025-05-05,15:30,114.36,114.59606666666667,114.085,114.20333333333333,5349579.333333333,56.96957,114.223393,114.20780623333333,0.4494583266666667,0.5218975976666667,-0.07243994266666666,60.84623,61.70156333333333,19.150626666666668,54.584692,0.5901192033333333,114.90222999999999,114.11658,113.330924
4575,2025-05-05,15:35,114.5,114.62,114.48,114.51,1035089.0,59.54857,114.30577,114.38177,0.069627731,0.075133719,-0.0055059886,75.80631,68.49443,19.80477,97.0090725,0.18559394,114.65989,114.38217,114.10444
4576,2025-05-05,15:40,114.515,114.55,114.25,114.29,1304542.0,49.84875,114.31799,114.36342,0.058139414,0.071734858,-0.013595445,40.3224,63.97834,18.61428,-9.52313,0.19376602,114.66005,114.38142,114.10278
4577,2025-05-05,15:45,114.28,114.345,113.86000150000001,114.0331,4849501.5,46.61183,114.30127999999999,114.25796500000001,0.0583539045,0.0739697545,-0.0156158505,26.95921,51.468125,16.028750000000002,-61.517089999999996,0.30934330499999996,114.65295499999999,114.21512,113.7772785
4578,2025-05-05,15:50,114.26,114.37,113.6901,113.8702,2409758.0,36.69652,114.28428,114.24762,0.004782634,0.054191617,-0.049408983,18.56883,31.25411,19.032198,-191.50421,0.23354607,114.69807,114.34349,113.9889
4579,2025-05-05,15:55,113.875,114.019997,113.67,113.81,4303101.0,35.25176,114.24429,114.1601,-0.032194784,0.036914337,-0.069109121,14.5002,22.64671,19.94427,-208.99335,0.2418641,114.7418,114.31763,113.89345
4580,2025-05-06,09:30,111.445,112.32000066666667,111.02066666666667,111.88496666666667,24254778.333333332,29.12824,113.92123333333332,113.66841,0.19990643666666666,0.446243975,-0.24633737,20.993689,32.96474666666666,21.558279,-395.58114666666665,0.77021536,115.36028,113.99148000000001,112.62267666666668
4581,2025-05-06,09:35,111.5,112.010002,111.445,111.86,3505416.0,21.72376,113.66338,113.27286,-0.38096154,-0.091906332,-0.28905521,21.1428,15.40476,27.47548,-298.65633,0.42732142,115.69284,114.049825,112.40681
4582,2025-05-06,09:40,111.855,112.0,111.48,111.5099,3123476.0,19.78281,113.34515,112.92027,-0.51038906,-0.17560288,-0.33478618,11.14001,14.2847,30.79423,-218.98056,0.43394108,115.86157,113.89882,111.93606
4583,2025-05-06,09:45,111.51,111.85,111.111,111.337749,5796344.0,21.464335,113.312865,112.89211499999999,-0.47387714999999997,-0.1506507985,-0.32322635,10.1287805,13.766969,27.067565000000002,-245.42238,0.524312585,115.75062,113.777725,111.80483699999999
4584,2025-05-06,09:50,111.57,111.615,110.822,110.88,3645985.0,17.63705,112.61576,112.29705,-0.72016903,-0.35253855,-0.36763048,1.52708,8.56044,37.11243,-161.31023,0.46065303,116.028119,113.56019,111.092261
4585,2025-05-06,09:55,110.8853,111.37,110.84,111.099998,2722131.0,22.10044,112.26131,112.057641,-0.78797932,-0.43962671,-0.34835262,7.31963,7.28698,40.075903,-131.66851,0.46560684,116.028045,113.38669,110.74533
4586,2025-05-06,10:00,111.11,111.83500000000001,110.9203,111.67005,5782921.5,30.894565,112.64025000000001,112.41023,-0.6208572450000001,-0.31629039999999997,-0.304566845,22.17893,11.91034,32.305825,-152.19971,0.56636659,115.82444000000001,113.483105,111.14176
4587,2025-05-06,10:05,111.42,111.82,111.42,111.8051,2570079.0,34.80118,111.71728,111.90591,-0.78096856,-0.56654695,-0.21442161,25.88467,16.36039,43.1111,-72.6922,0.47114105,115.88972,113.12219,110.35466
4588,2025-05-06,10:10,111.8088,112.13,111.73,111.9151,3244850.0,36.59703,111.50673,111.90775,-0.7435247,-0.6019425,-0.1415822,28.78095,23.51416,42.97856,-54.020479,0.46605911,115.76841,113.0049454,110.24148
4589,2025-05-06,10:15,111.915,112.725,111.79,112.5475,5896548.5,43.246294500000005,112.36191500000001,112.42833949999999,-0.55235463,-0.39910362499999996,-0.153251001,45.580265,30.258415,32.32304,-68.579325,0.587797475,115.66038,113.299115,110.93784
4590,2025-05-06,10:20,112.44,112.9258,112.44,112.755,3443401.0,48.57925,111.71173,112.16236,-0.56872062,-0.60520214,0.036481519,54.4813,42.22119,39.72539,-7.21683,0.48232213,115.50692,112.84771,110.1885
4591,2025-05-06,10:25,112.77,112.97,112.47,112.655,2920644.0,47.37758,111.83897,112.26089,-0.4956908,-0.58329987,0.087609067,51.66285,49.8485,37.64629,-3.75876,0.48358484,115.33863,112.76496,110.19129
