Date,Time,open,high,low,close,volume,RSI_rsi,SMA_sma,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx
2025-01-22,10:30,146.375,147.17999,145.47,146.0050049,31864934.0,75.44942,141.60891,205.077356,1.83116,145.46745,138.8639,132.26035,142.19597,2.25493,1.48383,0.77109906,86.21868,86.89375,30.57636
2025-01-22,11:30,146.009903,146.9299,145.7,146.75929,21005879.0,76.72757,142.52477,172.085633,1.78821,146.57919,139.48886,132.39854,143.10863,2.51848,1.69076,0.82771949,93.51354,89.97269,32.9359
2025-01-22,12:30,146.7597,147.10001,146.38,146.60001,15569337.0,75.82976,143.37143,149.43469,1.71191,147.49639,140.062615,132.62884,143.80691,2.68355,1.88932,0.79423806,91.97305,90.56842,35.16376
2025-01-22,13:30,146.595,147.71001,146.53999,147.3701,22193366.0,77.21774,144.26477,138.88582,1.67321,148.3997,140.67112,132.94253,144.51955,2.84374,2.080201,0.76353846,96.79939,94.095326,37.36558
2025-01-22,14:30,147.38,147.78999,147.029999,147.058105,18442995.0,75.33035,144.87349,124.34577,1.60798,148.83257,141.34402,133.85547,145.027257,2.91194,2.24655,0.66539492,93.15992,93.97746,39.42782
2025-01-22,15:30,147.054993,147.45,146.7,147.039993,17907158.0,75.21541,145.51349,102.63188,1.54669,149.42736,141.85852,134.28968,145.4298,2.93075,2.38339,0.54736211,92.99065,94.31666,40.97067
2025-01-23,09:30,145.020004,145.92999,143.72,145.28999,49364950.0,64.9103,145.92571,54.85379,1.67336,149.72309,142.21656,134.71003,145.40184,2.77249,2.46121,0.31127798,74.12005,86.75688,39.71695
2025-01-23,10:30,145.2905,146.28999,145.050003,145.715,21249120.0,66.12417,146.46849,60.78721,1.6424,149.99216,142.60388,135.21561,145.46447,2.6508,2.49913,0.15167164,78.065552,81.72542,38.71408
2025-01-23,11:30,145.71001,146.3199,145.28,145.38,12997316.0,64.23786,146.3575,54.056621,1.59937,150.16038,142.95988,135.75939,145.44758,2.49853,2.49901,-0.00047983692,71.6472,74.61093,37.79683
2025-01-23,12:30,145.38499,146.11,144.98,145.905,12459325.0,65.88057,146.34639,48.72823,1.56584,150.29527,143.35063,136.406,145.53906,2.39263,2.47773,-0.085099371,73.8558,74.52285,36.69657
