datetime,open,high,low,close,volume,RSI_rsi,SMA_sma,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band,Date,Time
2025-05-05 15:45:00,114.28,114.32,114.050003,114.2562,1493072,48.54061,114.31757,114.34198,0.045779884,0.066543863,-0.020763979,34.87110,50.33327,18.11868,-94.17902,0.19921106,114.65556,114.37273,114.089887,2025-05-05,15:45
2025-05-05 15:50:00,114.26,114.37,113.6901,113.8702,2409758,36.69652,114.28428,114.24762,0.0047826340,0.054191617,-0.049408983,18.56883,31.25411,19.032198,-191.50421,0.23354607,114.69807,114.34349,113.98890,2025-05-05,15:50
2025-05-05 15:55:00,113.875,114.019997,113.67,113.81,4303101,35.25176,114.24429,114.16010,-0.032194784,0.036914337,-0.069109121,14.50020,22.64671,19.94427,-208.99335,0.24186410,114.74180,114.31763,113.89345,2025-05-05,15:55
2025-05-06 09:30:00,111.445,111.98,111.12,111.49,10919064,13.38395,113.93096,113.62608,-0.24587000,-0.019642531,-0.22622747,10.57129,14.54677,23.90145,-546.69753,0.41673058,115.47846,114.17537,112.87229,2025-05-06,09:30
2025-05-06 09:35:00,111.5,112.010002,111.445,111.86,3505416,21.72376,113.66338,113.27286,-0.38096154,-0.091906332,-0.28905521,21.14280,15.40476,27.47548,-298.65633,0.42732142,115.69284,114.049825,112.40681,2025-05-06,09:35
2025-05-06 09:40:00,111.855,112.0,111.48,111.5099,3123476,19.78281,113.34515,112.92027,-0.51038906,-0.17560288,-0.33478618,11.14001,14.28470,30.79423,-218.98056,0.43394108,115.86157,113.89882,111.93606,2025-05-06,09:40
2025-05-06 09:45:00,111.51,111.85,111.4,111.5755,2612286,21.20341,113.019090,112.65132,-0.60074314,-0.26063093,-0.34011221,13.014221,15.099008,33.92100,-169.41105,0.43508793,115.92867,113.74894,111.56922,2025-05-06,09:45
2025-05-06 09:50:00,111.57,111.615,110.822,110.88,3645985,17.63705,112.61576,112.29705,-0.72016903,-0.35253855,-0.36763048,1.52708,8.56044,37.11243,-161.31023,0.46065303,116.028119,113.56019,111.092261,2025-05-06,09:50
2025-05-06 09:55:00,110.8853,111.37,110.84,111.099998,2722131,22.10044,112.26131,112.057641,-0.78797932,-0.43962671,-0.34835262,7.31963,7.28698,40.075903,-131.66851,0.46560684,116.028045,113.38669,110.74533,2025-05-06,09:55
2025-05-06 10:00:00,111.11,111.54,110.9203,111.425,2875457,28.28347,111.94673,111.93111,-0.80620093,-0.51294155,-0.29325938,15.87688,8.24120,42.17317,-102.82061,0.47661332,115.97584,113.24094,110.50603,2025-05-06,10:00
2025-05-06 10:05:00,111.42,111.82,111.42,111.8051,2570079,34.80118,111.71728,111.90591,-0.78096856,-0.56654695,-0.21442161,25.88467,16.36039,43.11110,-72.69220,0.47114105,115.88972,113.12219,110.35466,2025-05-06,10:05
2025-05-06 10:10:00,111.8088,112.13,111.73,111.9151,3244850,36.59703,111.50673,111.90775,-0.74352470,-0.60194250,-0.14158220,28.78095,23.51416,42.97856,-54.020479,0.46605911,115.76841,113.0049454,110.24148,2025-05-06,10:10
2025-05-06 10:15:00,111.915,112.48,111.79,112.44,2714526,44.45872,111.61229,112.014199,-0.66384258,-0.61432252,-0.049520062,43.40134,32.68899,41.85570,-34.20436,0.48205506,115.63862,112.91846,110.19829,2025-05-06,10:15
2025-05-06 10:20:00,112.44,112.9258,112.44,112.755,3443401,48.57925,111.71173,112.16236,-0.56872062,-0.60520214,0.036481519,54.48130,42.22119,39.72539,-7.21683,0.48232213,115.50692,112.84771,110.18850,2025-05-06,10:20
2025-05-06 10:25:00,112.77,112.97,112.47,112.655,2920644,47.37758,111.83897,112.26089,-0.49569080,-0.58329987,0.087609067,51.66285,49.84850,37.64629,-3.75876,0.48358484,115.33863,112.76496,110.19129,2025-05-06,10:25
2025-05-06 10:30:00,112.65,113.13,112.59,113.040001,2706468,52.27263,112.0016886,112.41671,-0.40211239,-0.54706237,0.14494998,69.35596,58.50004,35.34535,13.35540,0.48761456,115.18787,112.70355,110.21923,2025-05-06,10:30
2025-05-06 10:35:00,113.025002,113.19,112.86,113.13,2151818,53.36469,112.25169,112.55937,-0.31703430,-0.50105676,0.18402246,97.46600,72.82827,33.068845,27.21514,0.47635651,115.015098,112.64135,110.26760,2025-05-06,10:35
2025-05-06 10:40:00,113.125,113.23,112.975,113.035004,1707710,52.011882,112.46669,112.65449,-0.25434259,-0.45171393,0.19737134,91.90202,86.24133,30.85766,35.26311,0.46054568,114.79146,112.56760,110.34374,2025-05-06,10:40
2025-05-06 10:45:00,113.050003,113.25,113.010002,113.145,1641296,53.48235,112.65780,112.75259,-0.19355229,-0.40008160,0.20652931,95.67532,95.014447,28.75310,47.23348,0.44479226,114.55823,112.49935,110.44047,2025-05-06,10:45
2025-05-06 10:50:00,113.14,113.15,112.82,112.92,1706629,50.10044,112.78168,112.78608,-0.16166743,-0.35239877,0.19073133,86.40850,91.32861,27.27192,43.066481,0.43659294,114.33199,112.43085,110.52971,2025-05-06,10:50
2025-05-06 10:55:00,112.9101,112.97,112.7,112.715,1335670,47.17350,112.87055,112.77186,-0.15119748,-0.31215851,0.16096103,77.96527,86.68303,26.18357,38.52070,0.42469375,114.068533,112.35379,110.63905,2025-05-06,10:55
2025-05-06 11:00:00,112.71,112.87,112.69,112.8399,1321923,49.12370,112.91499,112.78547,-0.13130788,-0.27598838,0.14468050,82.98331,82.45236,25.19749,47.78877,0.40721565,113.88881,112.30227,110.71574,2025-05-06,11:00
2025-05-06 11:05:00,112.835,112.93,112.58,112.62,690291,45.91022,112.89999,112.75237,-0.13177013,-0.24714473,0.11537461,72.95785,77.96881,24.55859,48.45412,0.40312882,113.68099,112.24277,110.80456,2025-05-06,11:05
2025-05-06 11:10:00,112.63,112.73,112.59,112.69,1773630,47.096661,112.90388,112.73990,-0.12504639,-0.22272506,0.097678673,69.39907,75.11341,23.96533,39.66927,0.38433414,113.71016,112.30277,110.89539,2025-05-06,11:10
2025-05-06 11:15:00,112.71,112.8189,112.58,112.76,1013689,48.31745,112.87277,112.74392,-0.11276946,-0.20073394,0.087964486,67.76323,70.040050,23.083994,40.85434,0.37394593,113.75321,112.34777,110.94234,2025-05-06,11:15
2025-05-06 11:20:00,112.765,113.115,112.7,113.029999,1591776,52.83807,112.86166,112.80114,-0.080327459,-0.17665265,0.096325187,84.93141,74.031237,21.60061,61.030898,0.37687843,113.80393,112.42378,111.043629,2025-05-06,11:20
2025-05-06 11:25:00,113.0049973,113.13,112.9,113.07,953466,53.48719,112.86554,112.85491,-0.050803571,-0.15148283,0.10067926,77.77767,76.82410,20.27041,66.79854,0.36638681,113.84835,112.49850,111.14866,2025-05-06,11:25
2025-05-06 11:30:00,113.065002,113.089996,112.865,113.065002,877608,53.38833,112.85666,112.89693,-0.027492003,-0.12668467,0.099192662,76.28233,79.66380,18.91220,62.23518,0.35628764,113.75432,112.60775,111.46119,2025-05-06,11:30
2025-05-06 11:35:00,113.065002,113.16,113.010002,113.055,866978,53.17647,112.87166,112.92854,-0.0097125458,-0.10329024,0.093577695,70.89557,74.98519,17.89625,75.35495,0.34155292,113.63380,112.70550,111.77721,2025-05-06,11:35
2025-05-06 11:40:00,113.050102,113.14,112.76,112.815,1234312,48.23089,112.88277,112.90583,-0.014817216,-0.085595636,0.070778420,35.074991,60.75096,17.16502,37.69234,0.34429895,113.49394,112.77500,112.056066,2025-05-06,11:40
2025-05-06 11:45:00,112.8149,112.94,112.76,112.84,1291490,48.76530,112.88278,112.89267,-0.016653930,-0.071807295,0.055153365,38.80542,48.25866,16.48602,11.38926,0.33256333,113.39143,112.82675,112.26207,2025-05-06,11:45
2025-05-06 11:50:00,112.831,112.8998,112.63,112.685,1209723,45.62017,112.89000,112.85113,-0.030267737,-0.063499383,0.033231647,15.67128,29.85056,16.29355,-47.48158,0.32808066,113.25349,112.86524,112.47700,2025-05-06,11:50
2025-05-06 11:55:00,112.69,112.83,112.64,112.73,621839,46.69519,112.89444,112.82691,-0.036998687,-0.058199244,0.021200557,25.86248,26.77973,16.11483,-70.84052,0.31821793,113.22236,112.87974,112.53713,2025-05-06,11:55
2025-05-06 12:00:00,112.72,112.93,112.71,112.905,801453,50.77041,112.91056,112.84253,-0.027890838,-0.052137563,0.024246725,56.033918,32.52256,15.49428,-18.68620,0.31120245,113.22514,112.88724,112.54934,2025-05-06,12:00
2025-05-06 12:05:00,112.9049,112.9049,112.6201,112.6449,699777,45.23489,112.86777,112.80300,-0.041186037,-0.049947258,0.0087612206,11.18915,31.028517,15.25770,-85.10273,0.30932348,113.22605,112.88674,112.54743,2025-05-06,12:05
2025-05-06 12:10:00,112.65,113.79,112.6,113.6797,2933633,62.67223,112.93551,112.97834,0.031415423,-0.033674721,0.065090145,90.88446,52.70251,16.12311,200.73962,0.37222912,113.40049,112.91872,112.43695,2025-05-06,12:10
2025-05-06 12:15:00,113.69,113.69,113.26,113.3499,1835259,56.49790,112.96717,113.052652,0.061629791,-0.014613819,0.076243610,63.62794,55.23385,16.92670,199.26507,0.37635563,113.43950,112.92972,112.41994,2025-05-06,12:15
2025-05-06 12:20:00,113.35,113.445,112.83,112.92,1715136,49.63371,112.95217,113.026121,0.050305575,-0.0016299402,0.051935515,28.098892,60.87043,16.16497,55.14634,0.39340150,113.43146,112.92397,112.41648,2025-05-06,12:20
2025-05-06 12:25:00,112.95,113.17,112.91,113.017899,1070451,51.091000,112.97471,113.024477,0.048669762,0.0084300002,0.040239761,35.11758,42.28147,15.45764,45.92094,0.38387243,113.41699,112.91761,112.41824,2025-05-06,12:25
2025-05-06 12:30:00,113.010101,113.17,112.93,113.1213,1124462,52.64933,113.0059662,113.043841,0.055082028,0.017760406,0.037321622,43.80674,35.67440,14.80084,58.29445,0.37359568,113.43489,112.92768,112.42046,2025-05-06,12:30
2025-05-06 12:35:00,113.1236,113.4,113.11,113.21,1285497,54.0031960,113.064300,113.077073,0.066553898,0.027519104,0.039034794,51.26045,43.39492,14.85841,109.070924,0.36762462,113.46401,112.95243,112.44085,2025-05-06,12:35
2025-05-06 12:40:00,113.2131,113.39,112.96,113.010002,1295207,50.49724,113.095411,113.063659,0.058829209,0.033781125,0.025048084,34.45402,43.17374,14.37155,57.89996,0.37208003,113.47040,112.96094,112.45147,2025-05-06,12:40
2025-05-06 12:45:00,113.010002,113.050003,112.88,112.92,1187124,48.95688,113.097077,113.034927,0.044926881,0.036010276,0.0089166045,26.89068,37.53505,13.63994,-10.32084,0.35764616,113.46147,112.97593,112.49040,2025-05-06,12:45
2025-05-06 12:50:00,112.92,112.92,112.6201,112.825,1411821,47.31622,113.11709,112.99294,0.025944311,0.033997083,-0.0080527723,18.90740,26.75070,13.20725,-79.75569,0.35352116,113.45572,112.98268,112.50965,2025-05-06,12:50
2025-05-06 12:55:00,112.825,112.87,112.62,112.63,1059865,44.052843,113.00045437,112.92035,-0.0047792658,0.026241813,-0.031021079,2.52090,16.10632,12.80578,-112.70888,0.34612679,113.46460,112.97618,112.48777,2025-05-06,12:55
